good.names,genus,family,order,vol_mean,shape_median,color_most,investment_mean,orn_height_mean
Epigeocarpum_japonicum,Epigeocarpum_crypticum,Glomeraceae,Glomerales,23318.99507,0.894736842,1,0.859151967,0
Funneliformis_badium,Funneliformis,Glomeraceae,Glomerales,231305.036,0.655288462,5,0.596249957,0
Funneliformis_caesaris,Funneliformis,Glomeraceae,Glomerales,2810725.142,0.867924528,5,0.295097028,0
Funneliformis_caledonium,Funneliformis,Glomeraceae,Glomerales,4193159.811,0.812792942,2,0.321774925,0
Funneliformis_coronatum,Funneliformis,Glomeraceae,Glomerales,8642057.143,0.878720238,4,0.194905905,0
Funneliformis_dimorphicus,Funneliformis,Glomeraceae,Glomerales,4412268.707,0.825,4,0.372148267,0
Funneliformis_fragilistratus,Funneliformis,Glomeraceae,Glomerales,1260584.996,0.869863014,2,0.562247538,0
Funneliformis_geosporus,Funneliformis,Glomeraceae,Glomerales,4472318.942,0.844827586,2,0.154654563,0
Funneliformis_halonatus,Funneliformis,Glomeraceae,Glomerales,7042752.598,0.928571429,5,0.471534303,0.5
Funneliformis_kerguelensis,Funneliformis,Glomeraceae,Glomerales,1108292.038,0.490196078,2,0.398621799,0
Funneliformis_monosporus,Funneliformis,Glomeraceae,Glomerales,7064841.921,0.856060606,5,0.194373357,0
Funneliformis_mosseae,Funneliformis,Glomeraceae,Glomerales,3029478.702,0.680327869,2,0.169341716,0
Funneliformis_pilosus,Funneliformis,Glomeraceae,Glomerales,5333672.612,0.839228296,4,0.43966623,0
Funneliformis_verruculosus,Funneliformis,Glomeraceae,Glomerales,2880779.988,0.896825397,2,0.313330596,1.25
Septoglomus_xanthium,Septoglomus,Glomeraceae,Glomerales,39649.51728,0.73,2,0.518243712,0
Funneliglomus_sanmartinensis,Funneliglomus,Glomeraceae,Glomerales,884712.372,0.877910703,5,0.406991744,-1.7
Dentiscutata_aurea,Dentiscutata,Gigasporaceae,Diversisporales,77244.45479,0.775,2,0.095994912,1.5
Gigaspora_albida,Gigaspora,Gigasporaceae,Diversisporales,4837443.754,0.716666667,2,0.231764986,0
Gigaspora_candida,Gigaspora,Gigasporaceae,Diversisporales,7973973.02,0.916666667,1,0.236757883,0
Gigaspora_decipiens,Gigaspora,Gigasporaceae,Diversisporales,33935080.24,0.913265306,2,0.505469989,0
Gigaspora_gigantea,Gigaspora,Gigasporaceae,Diversisporales,26188648.49,0.9374125,3,0.267021426,0
Gigaspora_margarita,Gigaspora,Gigasporaceae,Diversisporales,26353860.84,0.885416667,0,0.230534742,0
Gigaspora_ramisporophora,Gigaspora,Gigasporaceae,Diversisporales,9513263.536,0.48,2,0.525756186,0
Gigaspora_rosea,Gigaspora,Gigasporaceae,Diversisporales,9755590.122,0.93852459,1,0.109205985,0
Gigaspora_tuberculata,Gigaspora,Gigasporaceae,Diversisporales,9309442.24,0.814814815,4,0.149106157,1.4
Glomus_ambisporum,Glomus,Glomeraceae,Glomerales,921775.2241,0.885350318,6,0.513241632,0
Glomus_arborense,Glomus,Glomeraceae,Glomerales,27963.44711,0.635,0,0.436018667,0
Glomus_atlanticum,Glomus,Glomeraceae,Glomerales,155881.3769,0.727848101,4,0.654654261,0
Glomus_atrouva,Glomus,Glomeraceae,Glomerales,1096625.276,0.777777778,5,0.716677809,0
Glomus_australe,Glomus,Glomeraceae,Glomerales,1675516.082,0.875,1,0.498394278,0
Redeckera_avelingiae,Redeckera,Diversisporaceae,Diversisporales,190651.3899,0.95,2,0.233310214,0
Glomus_bagyarajii,Glomus,Glomeraceae,Glomerales,302333.6069,0.678571429,2,0.52807173,0
Glomus_bareae,Glomus,Glomeraceae,Glomerales,82483.82412,0.81147541,2,0.470967378,0
Glomus_boreale,Glomus,Glomeraceae,Glomerales,780489.4249,0.777777778,5,0.367319432,0
Glomus_botryoides,Glomus,Glomeraceae,Glomerales,2752166.064,0.58,5,0.19879648,0
Glomus_brohultii,Glomus,Glomeraceae,Glomerales,452343.3227,0.757309942,5,0.502106544,0
Redeckera_canadensis,Redeckera,Diversisporaceae,Diversisporales,523598.7756,1,0,0.221312,0
Glomus_canum,Glomus,Glomeraceae,Glomerales,32899.4564,0.9,2,0.621271753,0
Glomus_cerebriforme,Glomus,Glomeraceae,Glomerales,126361.8378,0.5625,0,0.323285819,0
