good.names,order,family,genus,color_low,color_most,color_high,orn_height_min,orn_height_mean,orn_height_max,orn_diam_min,orn_diam_mean,orn_diam_max,min_wall_thickness,mean_wall_thickness,max_wall_thickness,dim1.min2,dim1.min,dim1.max,dim1.max2,dim2.min2,dim2.min,dim2.max,dim2.max2
Gigaspora_candida,Diversisporales,Gigasporaceae,Gigaspora,1,1,1,0,0,0,0,0,0,7,10,14,200,200,300,300,200,200,300,300
Gigaspora_decipiens,Diversisporales,Gigasporaceae,Gigaspora,2,2,4,0,0,0,0,0,0,34,40.5,47,320,320,490,490,320,320,490,490
Gigaspora_gigantea,Diversisporales,Gigasporaceae,Gigaspora,2,3,3,0,0,0,0,0,0,9.7,17.7,27.9,353,353,368,368,345,345,398,398
Gigaspora_margarita,Diversisporales,Gigasporaceae,Gigaspora,0,0,1,0,0,0,0,0,0,5,14.5,24,260,260,480,480,260,260,480,480
Gigaspora_ramisporophora,Diversisporales,Gigasporaceae,Gigaspora,2,2,5,0,0,0,0,0,0,6.7,21.5,36.3,96,200,450,567,96,200,450,567
Gigaspora_rosea,Diversisporales,Gigasporaceae,Gigaspora,1,1,5,0,0,0,0,0,0,2.4,4.95,7.5,230,230,305,305,230,230,305,305
Gigaspora_tuberculata,Diversisporales,Gigasporaceae,Gigaspora,4,4,5,1.1,1.4,1.7,0.8,0.9,1,6,6.6,7.5,220,270,300,360,220,270,300,360
Glomus_ambisporum,Glomerales,Glomeraceae,Glomus,5,6,6,0,0,0,0,0,0,6,12.5,19,85,85,157,157,85,85,157,157
Glomus_arborense,Glomerales,Glomeraceae,Glomus,0,0,2,0,0,0,0,0,0,3,3,3,24,24,55,55,50,50,50,50
Glomus_atlanticum,Glomerales,Glomeraceae,Glomus,2,4,5,0,0,0,0,0,0,5.1,9,13.8,36,79,79,139,36,79,79,139
Glomus_atrouva,Glomerales,Glomeraceae,Glomus,5,5,5,0,0,0,0,0,0,14,22,30,100,100,180,200,100,100,180,200
Glomus_australe,Glomerales,Glomeraceae,Glomus,1,1,5,0,0,0,0,0,0,11,15,19,120,160,160,180,120,160,160,180
Redeckera_avelingiae,Diversisporales,Diversisporaceae,Redeckera,2,2,5,0,0,0,0,0,0,2.3,3,3.7,64,64,80,80,64,64,80,80
